"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gene713",1.38984438984447,9.35514018691589,4.3302183175563,2.26638172106356e-05,0.00085237200040625,2.41211199768272
"gene11704",-0.640049140049133,6.10280373831776,-4.32530352698486,2.31342675740309e-05,0.000859323797078586,2.39308316548952
"gene1819",-0.511466011466036,8.75233644859813,-4.32381439571578,2.32786464879979e-05,0.000862026186101705,2.38732119641765
"gene2425",1.15765765765769,8.46728971962617,4.29746854763342,2.59803279675367e-05,0.000933352976385984,2.28565498667972
"gene9141",0.785831285831306,7.14953271028037,4.28147993349165,2.77636644148243e-05,0.000991500597128813,2.22421073611731
"gene5328",0.565520065520065,6.78504672897196,4.26906262351032,2.92289059850059e-05,0.00103079086820409,2.1766238401998
"gene6212",-0.647829647829667,7.29439252336449,-4.26034973947639,3.03009013794418e-05,0.00106009112820227,2.14330286100772
"gene7074",-0.505118755118733,6.13551401869159,-4.24760544411568,3.1936898807039e-05,0.00110196684744512,2.09466768834855
"gene9934",-0.556101556101497,11.0093457943925,-4.24226519670929,3.26472618859388e-05,0.00111940113047656,2.07432458191739
"gene8089",0.84643734643738,7.13084112149533,4.22461399568475,3.51043372925744e-05,0.00119344830315292,2.00723784050502
"gene10741",-0.535421785421781,6.14485981308411,-4.21446460579346,3.65961990764041e-05,0.00123371220135721,1.96877011585226
"gene9774",-0.546683046683027,5.80373831775701,-4.19180176358211,4.01492177581896e-05,0.00132517001500149,1.88315695557621
"gene11412",-0.823095823095786,5.79439252336449,-4.17949320192026,4.22146723687637e-05,0.00137437184102761,1.83682282490474
"gene7874",-0.558763308763349,7.7196261682243,-4.17766497512472,4.25299867224016e-05,0.00137593653280673,1.82995052848149
"gene5385",-0.571867321867242,7.33177570093458,-4.16552223281005,4.46820474345359e-05,0.00143018202360276,1.78437072136836
"gene10446",0.557534807534796,5.41588785046729,4.15837620343418,4.59967370023308e-05,0.00146447283021971,1.75759952720877
"gene9947",-0.56592956592958,6.09345794392523,-4.15550395237003,4.65354964003395e-05,0.00147008725355252,1.7468501972274
"gene7757",0.516789516789494,6.32710280373832,4.15236690510175,4.71308067095828e-05,0.00148437646356471,1.73511708002628
"gene2790",0.611793611793656,9.01401869158878,4.14540116809949,4.84787803924139e-05,0.00150153792517985,1.70909089361697
"gene5299",-0.552416052416037,8.10280373831776,-4.1200642976633,5.36988874190511e-05,0.00161971456162476,1.61473781236249
"gene7913",0.636158886158903,6.24299065420561,4.11658311633666,5.44566953521905e-05,0.0016222433875337,1.60181256180658
"gene1421",0.555077805077918,8.68691588785047,4.11539275464111,5.47181541059638e-05,0.00162317330899912,1.59739501232891
"gene5783",-0.515765765765785,7.47663551401869,-4.11335962640852,5.51674949173357e-05,0.00162317330899912,1.5898523901405
"gene528",0.536240786240731,7.5981308411215,4.10933935597293,5.60663947703291e-05,0.00164174954029419,1.57494709619609
"gene6418",-0.663390663390555,7.67757009345794,-4.094007311659,5.96244139383386e-05,0.00170042611788603,1.51821707603376
"gene4845",0.612817362817496,7.81775700934579,4.08834119722153,6.09930004572508e-05,0.00173283030869432,1.49729770021788
